sign,remaining_steps,offset,reverse_ramp,initial_soc_kwh,result,terminal_error_kwh,day,step,soc_kwh,target_kwh,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw
-1,1,inside,False,126.2500001,feasible,0.0,240,95,126.2500001,150.0,-100.0,100.0,-99.9999995789474,-99.9999995789474,0.0,3.7999999999999996e-08,0.0,0.0,0.0
-1,1,inside,True,126.2500001,feasible,0.0,240,95,126.2500001,150.0,-100.0,100.0,-99.9999995789474,-99.9999995789474,0.0,3.7999999999999996e-08,0.0,1.0,154.99999957894738
-1,1,exact,False,126.25,feasible,0.0,240,95,126.25,150.0,-100.0,100.0,-100.0,-100.0,0.0,3.7999999999999996e-08,0.0,0.0,0.0
-1,1,exact,True,126.25,feasible,0.0,240,95,126.25,150.0,-100.0,100.0,-100.0,-100.0,0.0,3.7999999999999996e-08,0.0,1.0,155.0
-1,1,roundoff,False,126.24999999999999,feasible,0.0,240,95,126.24999999999999,150.0,-100.0,100.0,-100.00000000000007,-100.00000000000007,7.105427357601002e-14,3.7999999999999996e-08,1.0,0.0,0.0
-1,1,roundoff,True,126.24999999999999,feasible,0.0,240,95,126.24999999999999,150.0,-100.0,100.0,-100.00000000000007,-100.00000000000007,7.105427357601002e-14,3.7999999999999996e-08,1.0,1.0,155.0
-1,1,infeasible,False,126.249,explicit_infeasible,,240,95,126.249,150.0,-100.0,100.0,-100.00421052631582,-100.00421052631582,0.00421052631581631,3.7999999999999996e-08,,,
-1,1,infeasible,True,126.249,explicit_infeasible,,240,95,126.249,150.0,-100.0,100.0,-100.00421052631582,-100.00421052631582,0.00421052631581631,3.7999999999999996e-08,,,
-1,2,inside,False,102.5000001,feasible,0.0,240,94,102.5000001,150.0,-100.0,100.0,-310.80332367867044,-99.9999995789474,-4.210526043380014e-07,3.7999999999999996e-08,0.0,0.0,0.0
-1,2,inside,True,102.5000001,feasible,0.0,240,94,102.5000001,150.0,-100.0,100.0,-310.80332367867044,-99.9999995789474,-4.210526043380014e-07,3.7999999999999996e-08,0.0,1.0,154.99999957894738
-1,2,exact,False,102.5,feasible,0.0,240,94,102.5,150.0,-100.0,100.0,-310.80332409972306,-100.0,0.0,3.7999999999999996e-08,0.0,0.0,0.0
-1,2,exact,True,102.5,feasible,0.0,240,94,102.5,150.0,-100.0,100.0,-310.80332409972306,-100.0,0.0,3.7999999999999996e-08,0.0,1.0,155.0
-1,2,roundoff,False,102.49999999999999,feasible,0.0,240,94,102.49999999999999,150.0,-100.0,100.0,-310.8033240997231,-100.00000000000007,7.105427357601002e-14,3.7999999999999996e-08,1.0,0.0,0.0
-1,2,roundoff,True,102.49999999999999,feasible,0.0,240,94,102.49999999999999,150.0,-100.0,100.0,-310.8033240997231,-100.00000000000007,7.105427357601002e-14,3.7999999999999996e-08,1.0,1.0,155.0
-1,2,infeasible,False,102.499,explicit_infeasible,,240,94,102.499,150.0,-100.0,100.0,-310.80753462603883,-100.00421052631582,0.00421052631581631,3.7999999999999996e-08,,,
-1,2,infeasible,True,102.499,explicit_infeasible,,240,94,102.499,150.0,-100.0,100.0,-310.80753462603883,-100.00421052631582,0.00421052631581631,3.7999999999999996e-08,,,
-1,3,inside,False,78.7500001,feasible,0.0,240,93,78.7500001,150.0,-100.0,100.0,-521.6066477783935,-99.9999995789474,-4.210526043380014e-07,3.7999999999999996e-08,0.0,0.0,0.0
-1,3,inside,True,78.7500001,feasible,0.0,240,93,78.7500001,150.0,-100.0,100.0,-521.6066477783935,-99.9999995789474,-4.210526043380014e-07,3.7999999999999996e-08,0.0,1.0,154.99999957894738
-1,3,exact,False,78.75,feasible,0.0,240,93,78.75,150.0,-100.0,100.0,-521.6066481994461,-100.0,0.0,3.7999999999999996e-08,0.0,0.0,0.0
-1,3,exact,True,78.75,feasible,0.0,240,93,78.75,150.0,-100.0,100.0,-521.6066481994461,-100.0,0.0,3.7999999999999996e-08,0.0,1.0,155.0
-1,3,roundoff,False,78.74999999999999,feasible,0.0,240,93,78.74999999999999,150.0,-100.0,100.0,-521.6066481994461,-100.00000000000007,7.105427357601002e-14,3.7999999999999996e-08,1.0,0.0,0.0
-1,3,roundoff,True,78.74999999999999,feasible,0.0,240,93,78.74999999999999,150.0,-100.0,100.0,-521.6066481994461,-100.00000000000007,7.105427357601002e-14,3.7999999999999996e-08,1.0,1.0,155.0
-1,3,infeasible,False,78.749,explicit_infeasible,,240,93,78.749,150.0,-100.0,100.0,-521.6108587257619,-100.00421052631582,0.00421052631581631,3.7999999999999996e-08,,,
-1,3,infeasible,True,78.749,explicit_infeasible,,240,93,78.749,150.0,-100.0,100.0,-521.6108587257619,-100.00421052631582,0.00421052631581631,3.7999999999999996e-08,,,
-1,4,inside,False,55.0000001,feasible,0.0,240,92,55.0000001,150.0,-100.0,100.0,-715.7894732631579,-99.99999957894737,-4.2105263275971083e-07,3.7999999999999996e-08,0.0,0.0,0.0
-1,4,inside,True,55.0000001,feasible,0.0,240,92,55.0000001,150.0,-100.0,100.0,-715.7894732631579,-99.99999957894737,-4.2105263275971083e-07,3.7999999999999996e-08,0.0,1.0,154.99999957894738
-1,4,exact,False,55.0,feasible,0.0,240,92,55.0,150.0,-100.0,100.0,-715.7894736842105,-100.0,0.0,3.7999999999999996e-08,0.0,0.0,0.0
-1,4,exact,True,55.0,feasible,0.0,240,92,55.0,150.0,-100.0,100.0,-715.7894736842105,-100.0,0.0,3.7999999999999996e-08,0.0,1.0,155.0
-1,4,roundoff,False,54.99999999999999,feasible,0.0,240,92,54.99999999999999,150.0,-100.0,100.0,-715.7894736842105,-100.00000000000003,2.842170943040401e-14,3.7999999999999996e-08,1.0,0.0,0.0
-1,4,roundoff,True,54.99999999999999,feasible,0.0,240,92,54.99999999999999,150.0,-100.0,100.0,-715.7894736842105,-100.00000000000003,2.842170943040401e-14,3.7999999999999996e-08,1.0,1.0,155.0
-1,4,infeasible,False,54.999,explicit_infeasible,,240,92,54.999,150.0,-100.0,100.0,-715.7936842105264,-100.00421052631579,0.004210526315787888,3.7999999999999996e-08,,,
-1,4,infeasible,True,54.999,explicit_infeasible,,240,92,54.999,150.0,-100.0,100.0,-715.7936842105264,-100.00421052631579,0.004210526315787888,3.7999999999999996e-08,,,
1,1,inside,False,126.31578937368423,feasible,0.0,240,95,126.31578937368423,100.0,-100.0,100.0,99.99999962000005,99.99999962000005,0.0,3.7999999999999996e-08,0.0,0.0,0.0
1,1,inside,True,126.31578937368423,feasible,0.0,240,95,126.31578937368423,100.0,-100.0,100.0,99.99999962000005,99.99999962000005,0.0,3.7999999999999996e-08,0.0,1.0,154.99999962000004
1,1,exact,False,126.31578947368422,feasible,0.0,240,95,126.31578947368422,100.0,-100.0,100.0,100.00000000000003,100.00000000000003,2.842170943040401e-14,3.7999999999999996e-08,1.0,0.0,0.0
1,1,exact,True,126.31578947368422,feasible,0.0,240,95,126.31578947368422,100.0,-100.0,100.0,100.00000000000003,100.00000000000003,2.842170943040401e-14,3.7999999999999996e-08,1.0,1.0,155.0
1,1,roundoff,False,126.31578947368423,feasible,2.842170943040401e-14,240,95,126.31578947368423,100.0,-100.0,100.0,100.00000000000009,100.00000000000009,8.526512829121202e-14,3.7999999999999996e-08,1.0,0.0,0.0
1,1,roundoff,True,126.31578947368423,feasible,2.842170943040401e-14,240,95,126.31578947368423,100.0,-100.0,100.0,100.00000000000009,100.00000000000009,8.526512829121202e-14,3.7999999999999996e-08,1.0,1.0,155.0
1,1,infeasible,False,126.31678947368422,explicit_infeasible,,240,95,126.31678947368422,100.0,-100.0,100.0,100.00380000000004,100.00380000000004,0.003800000000040882,3.7999999999999996e-08,,,
1,1,infeasible,True,126.31678947368422,explicit_infeasible,,240,95,126.31678947368422,100.0,-100.0,100.0,100.00380000000004,100.00380000000004,0.003800000000040882,3.7999999999999996e-08,,,
1,2,inside,False,152.63157884736844,feasible,0.0,240,94,152.63157884736844,100.0,-100.0,100.0,99.99999962000005,290.2499996200001,-3.799999461762127e-07,3.7999999999999996e-08,0.0,0.0,0.0
1,2,inside,True,152.63157884736844,feasible,0.0,240,94,152.63157884736844,100.0,-100.0,100.0,99.99999962000005,290.2499996200001,-3.799999461762127e-07,3.7999999999999996e-08,0.0,1.0,154.99999962000004
1,2,exact,False,152.63157894736844,feasible,0.0,240,94,152.63157894736844,100.0,-100.0,100.0,100.00000000000003,290.25000000000006,2.842170943040401e-14,3.7999999999999996e-08,1.0,0.0,0.0
1,2,exact,True,152.63157894736844,feasible,0.0,240,94,152.63157894736844,100.0,-100.0,100.0,100.00000000000003,290.25000000000006,2.842170943040401e-14,3.7999999999999996e-08,1.0,1.0,155.0
1,2,roundoff,False,152.63157894736847,feasible,2.842170943040401e-14,240,94,152.63157894736847,100.0,-100.0,100.0,100.00000000000014,290.25000000000017,1.4210854715202004e-13,3.7999999999999996e-08,1.0,0.0,0.0
1,2,roundoff,True,152.63157894736847,feasible,2.842170943040401e-14,240,94,152.63157894736847,100.0,-100.0,100.0,100.00000000000014,290.25000000000017,1.4210854715202004e-13,3.7999999999999996e-08,1.0,1.0,155.0
1,2,infeasible,False,152.63257894736844,explicit_infeasible,,240,94,152.63257894736844,100.0,-100.0,100.0,100.00380000000004,290.25380000000007,0.003800000000040882,3.7999999999999996e-08,,,
1,2,infeasible,True,152.63257894736844,explicit_infeasible,,240,94,152.63257894736844,100.0,-100.0,100.0,100.00380000000004,290.25380000000007,0.003800000000040882,3.7999999999999996e-08,,,
1,3,inside,False,178.94736832105264,feasible,0.0,240,93,178.94736832105264,100.0,-100.0,100.0,99.99999961999994,480.49999962,-3.800000598630504e-07,3.7999999999999996e-08,0.0,0.0,0.0
1,3,inside,True,178.94736832105264,feasible,0.0,240,93,178.94736832105264,100.0,-100.0,100.0,99.99999961999994,480.49999962,-3.800000598630504e-07,3.7999999999999996e-08,0.0,1.0,154.99999961999993
